CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
Environment	2004									environment																																																																																																																																																																																																																																														
		Total CO2 emissions								8		3.7	193.9		7.9		0.4	141.7	3.6		326.6	69.8	31.3	2	16.9	37.1	1.3	64.9	100.7	0.8	2.4		0.4	7	15.6	4.3	331.6		8.8	42.5	1.1	0.2	0.5	3.8	639	0.3		0.3	0.1	62.4	5007.1	53.6	0.1	3.5		6.4	5.2	23.5	25.8	6.7	116.9		2.1	52.9	0.4	0.1	19.6	29.3	158.1	6.2	5.4	0.8	18.9	8	1.1	65.8	373.5	1.4	0.3	3.9	808.3	7.2		96.6	0.2	12.2	1.3	0.3	1.4	1.8		7.6	37.4	57.1	2.2	1342.1	378	433.3		42.3	71.2	449.7	10.6	1257.2	16.5	200.2	10.6		99.3	5.7	1.3	7.1	16.3			59.9		13.3	11.3		2.7	1	177.5	0.7	0.6	2.5		2.6	3.2	437.8			8.5			41.1	2.2	9.8	2.5		3	142		31.6	4	1.2	114		87.5	30.9	125.6		0.6	5.7	2.4	4.2	31.5	80.5	307.1	58.9	52.9	465.4	7.7	90.4	1524.1	0.6	0.1	0.4	0.2	0.2		0.1	308.2	5		0.5	1	52.2	36.3	16.2	0.2		436.8	330.3	11.5	10.4	2.3	1	53	40.4	68.4	5	267.9	10.4	0.2	2.3		0.1	32.5	22.9	226	41.7			1.8	329.8	149.1	586.9	4.3	6045.8	5.5	137.8	0.1	172.5	98.6	21.1	2.3	10.6																														
		CO2 emissions: Share of  world total								9			0.7					0.5			1.1	0.2	0.1		0.1	0.1		0.2	0.3						0.1		1.1			0.1					2.2					0.2	17.3	0.2						0.1	0.1		0.4			0.2			0.1	0.1	0.5				0.1			0.2	1.3				2.8			0.3									0.1	0.2		4.6	1.3	1.5		0.1	0.2	1.6		4.3	0.1	0.7			0.3				0.1			0.2							0.6							1.5						0.1						0.5		0.1			0.4		0.3	0.1	0.4						0.1	0.3	1.1	0.2	0.2	1.6		0.3	5.3								1.1					0.2	0.1	0.1			1.5	1.1					0.2	0.1	0.2		0.9						0.1	0.1	0.8	0.1				1.1	0.5	2		20.9		0.5		0.6	0.3	0.1																																
		CO2 emissions per capita								10		1.2	5.5		0.7		6	3.7	1.2		16.2	8.6	3.8	6.7	23.9	0.3	4.7	6.6	9.7	2.9	0.3		0.2	0.8	4	2.4	1.8		24	5.5	0.1			0.3	20	0.7		0.1	0	3.9	3.8	1.2	0.1	1		1.5	0.3	5.3	2.3	9.2	11.4			9.8	0.5	1.5	2.2	2.2	2.3	0.9	10.5	0.2	14	0.1	1.2	12.6	6	1	0.2	0.8	9.8	0.3		8.8	2.7	1	0.1	0.2	1.9	0.2		1.1	5.5	5.6	7.6	1.2	1.7	6.4		10.5	10.4	7.8	4	9.9	2.9	13.3	0.3		37.1	1.1	0.2	3	4.2			9.3		3.8	25		0.1	0.1	7.5	2.5		6.1		0.8	2.6	4.2			3.1			1.4	0.1	0.2	1.2		0.1	8.7		7.7	0.7	0.1	0.9		19.1	13.6	0.8		0.2	1.8	0.4	0.7	1.1	1	8	5.6	79.3	9.7	1.8	4.2	10.6	0.1	3.2	2.2	1.7	0.8		0.5	13.6	0.4		6.7	0.2	12.3	6.7	8.1	0.3		9.8	7.6	0.6	0.3	5.2	0.8	5.9	5.4	3.8	0.8	4.2	5.1	0.2	0.4		1.1	24.9	2.3	3.2	8.8			0.1	7	34.1	9.8	0.1	20.6	1.6	5.3	0.4	6.6	1.2	1	0.2	0.8																														
		CO2 emissions: Carbon intensity of growth								11		0.26	0.99		0.29		0.46	0.31	0.31		0.58	0.29	1.06		1.3	0.15		1.03	0.34	0.44	0.29			0.31		0.23	0.24			0.72	0.08	0.05	0.02	0.12	0.69	0.11		0.06	0.01	0.38	0.7	0.19	0.09	0.86		0.17	0.2	0.48		0.45	0.66		0.06	0.33	0.25	0.26	0.33	0.6	0.58	0.2	1.57	0.17	1.12	0.13	0.24	0.45	0.23	0.16	0.12	0.32	0.38	0.16		0.43	0.29	0.25	0.07	0.24	0.47	0.14		0.36	0.19	0.37	0.24	0.44	0.53	0.93		0.31	0.47	0.3	1.06	0.36	0.66	2.07	0.3		1.81	0.65	0.13	0.28	0.92					0.32	0.48		0.19	0.14	0.76		0.05	0.36		0.44	0.24	0.46			1.9			0.34	0.11		0.19		0.08	0.3		0.35	0.24	0.13	0.92		0.53	0.88	0.41			0.28	0.19	0.18	0.22	0.22	0.68	0.31		0.51	1.05	0.54	1.17	0.06	0.22	0.38	0.29	0.16		0.31	1.02	0.28		0.44	0.27	0.48	0.51	0.43	0.21		0.99	0.33	0.15	0.17	0.78	0.2	0.21	0.17	1.11	0.68	0.56	0.83		0.29		0.16	2.05	0.32	0.45				0.05	1.18	1.57	0.34	0.18	0.56	0.19	3.07	0.15	1.2	0.47	1.25	0.23	0.42																														
	1990																																																																																																																																																																																																																																																							
		Total CO2 emissions										7.3	77		4.6		0.3	109.7	3.7		278.5	57.6	49.8	1.9	11.7	15.4	1.1	94.6	100.6	0.3	0.7		0.1	5.5	4.7	2.2	209.5		5.8	75.3	1	0.2	0.5	1.6	415.8	0.1		0.2	0.1	35.6	2398.9	58	0.1	1.2		2.9	5.4	17.4	32	4.6	138.4		4	49.8	0.4	0.1	9.6	16.7	75.4	2.6	0.1		24.9	3	0.8	51.2	363.8	6	0.2	15.1	980.4	3.8		72.4	0.1	5.1	1	0.2	1.1	1		2.6	26.2	60.1	2	681.7	213.8	218.3		30.6	33.1	389.7	8	1070.7	10.2	259.2	5.8		43.4	11	0.2	12.7	9.1			37.8		21.4	9.9		0.9	0.6	55.3	0.2	0.4	2.2		2.6	1.5	413.3			10			23.5	1	4.3			0.6	141		22.6	2.6	1	45.3		33.2	10.3	68			3.1	2.4	2.3	21	43.9	347.6	42.3	12.2	241.2	20.9	155.1	1984.1	0.5	0.1	0.2	0.1	0.1		0.1	254.8	3.1		0.1	0.3	45.1	44.3	12.3	0.2		331.8	212.1	3.8	5.4	1.8	0.4	49.5	42.7	35.9	20.6	95.7	10.6		0.8		0.1	16.9	13.3	146.2	28			0.8	600	54.7	579.4	2.3	4818.3	3.9	118.1	0.1	117.4	21.4	10.1	2.4	16.6																														
		CO2 emissions: Share of  world total											0.3					0.5			1.2	0.3	0.2		0.1	0.1		0.4	0.4								0.9			0.3					1.8					0.2	10.6	0.3						0.1	0.1		0.6			0.2				0.1	0.3				0.1			0.2	1.6			0.1	4.3			0.3									0.1	0.3		3	0.9	1		0.1	0.1	1.7		4.7		1.1			0.2			0.1				0.2		0.1					0.2							1.8						0.1						0.6		0.1			0.2		0.1		0.3						0.1	0.2	1.5	0.2	0.1	1.1	0.1	0.7	8.8								1.1					0.2	0.2	0.1			1.5	0.9					0.2	0.2	0.2	0.1	0.4						0.1	0.1	0.6	0.1				2.6	0.2	2.6		21.2		0.5		0.5	0.1			0.1																														
		CO2 emissions per capita										2.2	3		0.5		4.8	3.4	1		16.3	7.4	6.9	7.6	24.2	0.1	4.1	9.2	10.1	1.6	0.1		0.1	0.9	1.1	1.7	1.4		23	8.4	0.1			0.1	15	0.3		0.1		2.7	2.1	1.6	0.1	0.5		1	0.5	3.9	3	6.8	13.4		0.1	9.7	1	0.8	1.3	1.6	1.5	0.5	0.3		16.1	0.1	1.1	10.3	6.4	6.4	0.2	2.8	12.3	0.3		7.1	1.3	0.6	0.2	0.2	1.5	0.1		0.5	4.6	5.8	7.9	0.8	1.2	4		8.8	6.9	6.9	3.3	8.7	3.1	15.7	0.3		20.3	2.4	0.1	4.8	3.3			9.1		5.7	25.9		0.1	0.1	3	0.7		6.3		1.3	1.4	5			4.7			1	0.1	0.1	0			9.4		6.7	0.7	0.1	0.5		7.8	6.3	0.6			1.3	0.7	0.5	1	0.7	9.1	4.3	24.9	5.6	4.8	6.7	13.4	0.1	1.5	1.2	0.8	0.8		0.6	15.9	0.4		1.6	0.1	14.9	8.4	6.2	0.5		9.1	5.5	0.2	0.2	4.5	0.5	5.8	6.2	3	3.7	1.7	5.2		0.2		0.8	13.9	1.6	2.6	7				11.5	27.2	10	0.1	19.3	1.2	5.5	0.5	6	0.3	0.9	0.3	1.6																														
		CO2 emissions: Carbon intensity of growth										0.73	0.56		0.25		0.54	0.38	0.65		0.81	0.32	1.92	0.46	1.92	0.12		1.96	0.45	0.39	0.16			0.4		0.27	0.22			1.29	0.13	0.04		0.07	0.66	0.08		0.05	0.03	0.47	1.3	0.3	0.08	0.38		0.15	0.26	0.52		0.52	1.03		0.07	0.42	0.22	0.17	0.31	0.5	0.48	0.14	0.28		2.46	0.07	0.22	0.46	0.29	0.96	0.12	1.39	0.58	0.15		0.49	0.23	0.17	0.09	0.21	0.63	0.07		0.19	0.23	0.5	0.32	0.48	0.54	0.85		0.55	0.39	0.32	1.04	0.37	0.84	3.3	0.22			1.26	0.05	0.85	1.24					0.67	0.78		0.08	0.13	0.56		0.07	0.53		0.7	0.21	0.65			2.71			0.29	0.12				0.03	0.41		0.39	0.24	0.16	0.59		0.31	0.52	0.39			0.29	0.31	0.12	0.25	0.19	1.24	0.3		0.57	2.23	0.99	1.61	0.07	0.2	0.24	0.16	0.19		0.32	1.18	0.28		0.13	0.1	0.99	0.96	0.51	0.23		1.03	0.31	0.09	0.19	0.81	0.13	0.26	0.21	1.11	2.38	0.38	0.91		0.13		0.15	1.98	0.35	0.48	1.54			0.06	1.59	1.19	0.47	0.17	0.68	0.18	3.55	0.16	1.03	0.28	1.15	0.31	0.58																														
