CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
Non-Latin text example	2017									nonlatintextexample																																																																																																																																																																																																																																														
		እንኳን ደህና መጣህ።								24	92		48					58			83																52								53						14										54	87	46					78	87	16							74	25	92	81																																																																																																																																																																								
		 أهلاً و سهلاً								25	32		75					9			67																73								58						45										57	99	92					96	21	51							42	76	21	28																																																																																																																																																																								
		Բարի գալուստ								26	4		77					8			20																80								97						60										28	6	46					21	3	30							44	67	12	14																																																																																																																																																																								
		Բարի՜ եկաք								27	16		30					85			37																43								71						64										40	80	49					54	64	39							10	1	95	55																																																																																																																																																																								
		স্বাগতম								28	17		55					38			42																26								41						5										26	54	80					59	23	65							11	60	83	65																																																																																																																																																																								
		आईं ना								29	24		9					9			59																1								24						91										57	18	66					94	36	51							98	83	61	14																																																																																																																																																																								
		Добре дошъл								30	68		5					2			61																93								13						9										23	31	60					68	28	39							73	90	14	70																																																																																																																																																																								
		ᎤᎵᎮᎵᏍᏗ								31	77		59					73			53																90								11						9										83	38	40					27	58	5							77	15	91	1																																																																																																																																																																								
		歡迎 								32	48		77					40			35																69								45						90										91	56	80					22	16	9							56	25	17	71																																																																																																																																																																								
		 歡迎光臨 								33	25		38					9			61																50								73						51										13	22	45					36	42	58							89	53	33	22																																																																																																																																																																								
		欢迎 								34	42		37					32			4																29								25						70										83	42	29					45	8	66							1	15	22	50																																																																																																																																																																								
		歡迎光臨 								35	91		15					65			18																72								30						42										96	5	57					17	75	53							46	79	23	32																																																																																																																																																																								
		კეთილი იყოს თქვენი								36	75		87					96			38																6								94						36										50	8	5					72	21	72							14	80	39	79																																																																																																																																																																								
		Καλώς Ορίσατε 								37	88		81					47			82																9								56						46										31	65	55					87	69	30							35	7	94	71																																																																																																																																																																								
		પધારો								38	26		21					12			66																34								36						23										47	68	46					75	61	64							80	8	1	44																																																																																																																																																																								
		सवागत हैं								39	33		32					72			74																33								53						73										87	3	62					31	4	14							76	98	49	76																																																																																																																																																																								
		 ᑐᙵᓱ								40	78		22					52			85																11								23						68										52	2	92					49	40	33							92	14	71	57																																																																																																																																																																								
